Region,Product,Sales,Units,Month,Year
Midwest,Speaker,22690,109,June,2022
Northwest,Printer,31748,105,April,2024
South,Laptop,42559,53,August,2024
East,Phone,29065,57,June,2022
Northwest,Keyboard,8087,95,May,2023
East,Tablet,8187,25,May,2023
Southwest,Keyboard,2124,16,May,2022
Central,Webcam,7694,79,January,2022
Southeast,Headphones,2895,17,November,2022
West,Headphones,9162,59,September,2024
South,Headphones,10177,67,October,2023
South,Mouse,652,19,February,2022
East,Printer,6881,21,May,2022
Southeast,Monitor,11726,46,February,2023
Central,Phone,20273,39,February,2024
South,Tablet,28958,95,December,2024
Midwest,Keyboard,9276,105,October,2024
East,Mouse,661,16,October,2024
Northwest,Keyboard,8296,100,February,2024
Southwest,Laptop,25736,31,August,2022
Southwest,Keyboard,2096,18,January,2022
South,Speaker,19173,91,February,2024
Southwest,Phone,6392,12,December,2024
Midwest,Speaker,5953,25,April,2024
Northwest,Keyboard,1757,10,April,2024
East,Webcam,2751,22,August,2023
Northeast,Phone,54135,107,November,2022
Northeast,Webcam,10433,107,May,2023
Northeast,Monitor,16863,65,August,2024
Northeast,Phone,45169,89,September,2024
Southwest,Printer,26340,86,July,2022
Midwest,Headphones,4210,28,January,2023
West,Monitor,3810,12,October,2022
South,Webcam,10633,108,August,2023
Southwest,Printer,27180,89,May,2022
Southwest,Monitor,23223,92,September,2024
East,Mouse,2397,59,May,2024
North,Speaker,5114,23,September,2022
West,Phone,17060,34,September,2022
East,Keyboard,1882,19,July,2024
West,Headphones,4539,28,January,2024
Northeast,Phone,28434,55,July,2023
South,Keyboard,2463,20,December,2023
East,Printer,20668,68,June,2022
Southwest,Printer,4674,13,June,2023
Southeast,Phone,35759,71,October,2022
West,Webcam,1098,12,October,2023
Southwest,Printer,5460,17,March,2024
Northeast,Headphones,14757,93,September,2023
Northwest,Headphones,1960,13,October,2022
East,Keyboard,3566,38,September,2024
North,Monitor,10762,42,June,2024
East,Headphones,15358,100,May,2022
Northwest,Keyboard,5848,64,January,2023
Northwest,Headphones,13825,90,June,2023
Northeast,Phone,46837,92,March,2023
Southwest,Speaker,21063,105,December,2024
Northwest,Phone,26702,52,October,2024
East,Speaker,18110,90,October,2024
East,Phone,41464,81,July,2024
Southeast,Speaker,6271,29,May,2022
West,Speaker,19197,92,April,2022
Southeast,Keyboard,2046,15,July,2024
Northeast,Keyboard,9298,105,February,2022
Southeast,Printer,8145,25,November,2023
Central,Phone,39642,79,July,2023
Midwest,Keyboard,5606,61,December,2024
Northeast,Webcam,4560,44,February,2022
Northeast,Monitor,17704,70,June,2023
West,Webcam,8709,92,August,2024
Central,Monitor,27476,109,March,2024
North,Keyboard,6843,76,November,2024
West,Headphones,5426,35,December,2024
Northwest,Mouse,1509,28,July,2023
Midwest,Phone,43387,85,November,2023
Southwest,Tablet,18570,60,November,2023
East,Keyboard,4239,43,March,2022
Midwest,Phone,17378,33,December,2024
Central,Phone,40499,79,February,2022
Northwest,Laptop,50670,63,September,2024
South,Speaker,21164,104,February,2023
North,Laptop,40930,51,May,2024
Central,Headphones,12037,76,September,2023
Northwest,Headphones,14047,87,July,2022
Central,Speaker,6341,27,February,2024
Northwest,Headphones,13821,89,June,2023
South,Webcam,2469,27,April,2024
Northwest,Headphones,2099,12,August,2023
Midwest,Phone,23386,45,September,2024
North,Monitor,27290,106,November,2024
East,Webcam,8071,88,October,2022
Northwest,Phone,50115,99,August,2024
East,Webcam,9368,103,November,2022
Midwest,Mouse,2333,76,December,2023
East,Mouse,1358,14,August,2023
North,Keyboard,6031,74,January,2024
Central,Headphones,9088,55,March,2022
East,Keyboard,4349,45,December,2023
Central,Mouse,1436,25,August,2023
Central,Keyboard,6633,71,January,2023
Northeast,Headphones,5810,33,July,2023
Northwest,Laptop,10475,13,July,2023
Midwest,Monitor,22218,88,March,2024
North,Monitor,23611,92,May,2022
Northwest,Mouse,1909,43,June,2022
Southwest,Printer,10423,33,March,2024
North,Printer,12940,41,April,2024
Northwest,Webcam,6747,67,November,2023
North,Webcam,9544,101,March,2023
Central,Speaker,12676,60,September,2022
Southeast,Monitor,17307,66,April,2022
East,Laptop,44679,55,July,2022
Northeast,Printer,14077,45,March,2022
Northeast,Monitor,17709,70,October,2023
Southeast,Monitor,15813,60,February,2023
Southeast,Laptop,50325,62,August,2024
South,Laptop,83923,104,March,2022
Central,Webcam,3557,29,March,2024
Midwest,Headphones,8170,54,January,2023
Northeast,Headphones,12186,78,October,2023
Central,Headphones,13130,82,May,2022
Northeast,Tablet,18304,61,June,2022
West,Phone,48604,96,March,2022
Central,Mouse,2884,78,January,2024
South,Laptop,46757,58,September,2023
Northeast,Webcam,4112,37,June,2022
Central,Mouse,1961,64,June,2022
Midwest,Headphones,3031,14,December,2023
Central,Laptop,79398,99,June,2023
Northwest,Printer,10889,36,May,2022
West,Printer,31613,103,October,2024
Southwest,Webcam,7975,83,March,2023
Southwest,Headphones,7878,51,December,2024
East,Printer,22109,72,December,2024
Northwest,Keyboard,3037,28,November,2022
East,Mouse,2185,58,December,2024
Midwest,Phone,18341,35,March,2023
Southwest,Printer,24008,77,June,2024
South,Phone,37119,73,October,2023
Midwest,Mouse,1436,46,February,2023
East,Speaker,18034,87,December,2024
North,Keyboard,3760,42,April,2024
Central,Keyboard,6501,74,December,2024
Northeast,Laptop,11290,14,December,2022
Southwest,Printer,4670,13,January,2023
Southeast,Laptop,32154,39,October,2022
East,Phone,29583,58,September,2022
Southwest,Monitor,7143,27,February,2022
Midwest,Webcam,2019,19,December,2024
West,Speaker,9885,49,November,2024
Midwest,Keyboard,2403,26,October,2024
East,Phone,46656,93,April,2024
South,Printer,12696,42,March,2023
Southeast,Keyboard,2510,23,September,2024
North,Printer,31338,103,November,2022
West,Phone,22963,44,April,2023
North,Mouse,2767,89,December,2024
East,Laptop,48903,60,July,2023
South,Keyboard,8803,105,February,2023
Southwest,Webcam,2710,28,September,2024
Northwest,Tablet,32776,107,January,2024
Southeast,Laptop,44284,55,March,2023
West,Keyboard,3347,37,December,2023
Northwest,Webcam,2796,30,April,2023
Northeast,Webcam,9067,92,May,2023
Southwest,Phone,42618,84,July,2022
Southwest,Mouse,2936,75,May,2023
Central,Keyboard,6910,78,May,2023
North,Laptop,10726,13,May,2024
Midwest,Webcam,6786,73,August,2024
West,Printer,15688,50,January,2023
Northeast,Laptop,53400,66,April,2024
Midwest,Phone,11750,23,March,2022
Northeast,Tablet,25133,83,November,2023
Southwest,Mouse,2330,75,April,2023
Northeast,Monitor,7891,28,December,2023
East,Laptop,57536,71,October,2024
North,Headphones,15577,99,May,2022
South,Speaker,20822,104,November,2022
Midwest,Printer,17862,57,October,2024
Midwest,Mouse,779,20,August,2023
West,Speaker,17513,86,May,2022
Central,Speaker,9499,46,July,2023
Northeast,Printer,10396,32,June,2023
Northeast,Laptop,27691,34,July,2022
Midwest,Headphones,16652,108,November,2024
Northwest,Laptop,36011,45,January,2023
Southeast,Printer,5222,17,October,2024
Southwest,Mouse,3452,90,July,2024
Northwest,Tablet,4690,14,March,2023
Northwest,Headphones,10188,62,December,2024
North,Phone,53064,105,August,2024
Central,Tablet,11427,38,April,2024
Southeast,Tablet,9536,29,January,2023
Central,Monitor,15490,61,August,2023
Southwest,Mouse,3334,90,April,2024
Northwest,Tablet,9452,31,October,2024
Northeast,Speaker,13758,66,September,2023
East,Monitor,25390,100,June,2022
East,Phone,40624,80,February,2023
East,Phone,44708,89,February,2022
Central,Keyboard,1475,15,October,2023
Southwest,Speaker,3190,12,February,2022
West,Phone,38651,76,August,2024
South,Monitor,13636,54,December,2024
East,Webcam,6692,70,February,2022
Midwest,Tablet,33216,108,March,2023
Southwest,Keyboard,8825,109,June,2023
Northeast,Phone,6112,12,August,2022
West,Laptop,29055,36,May,2024
Southeast,Monitor,14613,55,October,2023
Central,Tablet,11702,38,September,2022
Southwest,Keyboard,3632,35,March,2022
South,Phone,42172,84,July,2023
Northeast,Keyboard,7326,90,October,2023
North,Phone,40335,80,March,2024
West,Monitor,22244,85,May,2024
Southwest,Speaker,19268,93,May,2024
Midwest,Tablet,27684,90,July,2024
West,Keyboard,7698,91,May,2024
South,Mouse,1884,50,October,2023
Southwest,Webcam,4373,48,November,2024
Southwest,Mouse,1061,26,July,2023
North,Monitor,19257,76,May,2023
Southeast,Laptop,35308,44,November,2024
Midwest,Monitor,18788,73,January,2022
Southwest,Phone,38709,77,September,2024
Central,Mouse,1338,37,June,2023
Central,Headphones,7425,49,November,2023
West,Monitor,10072,37,January,2022
Northwest,Printer,16653,55,April,2023
East,Tablet,29406,98,October,2023
Northwest,Headphones,11670,75,September,2023
Midwest,Monitor,26503,106,February,2024
North,Printer,26498,87,February,2022
West,Keyboard,3720,46,May,2024
South,Mouse,1038,16,April,2022
South,Headphones,11194,72,January,2023
Southwest,Phone,53267,105,November,2024
Southwest,Mouse,2928,72,December,2024
Southeast,Mouse,2351,60,July,2023
East,Printer,9423,29,December,2022
West,Printer,13027,42,June,2022
East,Webcam,2408,17,October,2022
East,Speaker,14874,73,March,2024
Southeast,Mouse,1291,15,April,2024
South,Webcam,3905,35,March,2022
Southwest,Webcam,8359,92,August,2022
Southwest,Headphones,12058,79,February,2022
South,Laptop,55582,69,September,2022
Northeast,Phone,18051,35,February,2023
West,Speaker,21752,108,July,2022
West,Monitor,6069,24,October,2023
Midwest,Webcam,6556,69,November,2022
Midwest,Webcam,6571,69,August,2024
South,Phone,5746,11,December,2022
Northwest,Printer,23945,78,December,2022
Midwest,Keyboard,2207,23,September,2022
Midwest,Laptop,74495,93,January,2024
East,Printer,31206,103,November,2022
Southwest,Keyboard,5472,62,August,2024
West,Phone,10056,19,December,2022
Southeast,Laptop,68167,85,February,2022
Southeast,Keyboard,6028,74,June,2024
Northwest,Keyboard,8747,107,October,2024
West,Phone,44829,88,April,2023
Southeast,Monitor,26942,106,December,2022
Northeast,Keyboard,4645,48,July,2022
Midwest,Speaker,21633,107,July,2023
North,Headphones,16712,107,March,2024
Northwest,Phone,36547,72,November,2024
Northwest,Printer,16538,52,April,2024
East,Mouse,1503,17,April,2022
Midwest,Printer,18678,62,October,2022
East,Speaker,5205,25,January,2022
West,Headphones,13623,88,April,2023
Northwest,Laptop,46628,58,May,2022
Central,Phone,18481,36,October,2023
West,Keyboard,2684,22,May,2024
Northwest,Mouse,3312,88,May,2022
Southeast,Mouse,1272,39,December,2022
Central,Tablet,11178,34,August,2022
South,Printer,30157,98,April,2024
Southeast,Laptop,19226,24,June,2024
Northwest,Speaker,13201,65,February,2023
Midwest,Monitor,3576,14,July,2022
Southeast,Keyboard,8526,96,July,2022
Central,Keyboard,2636,28,August,2022
West,Laptop,48071,59,January,2024
Midwest,Tablet,4522,14,May,2022
Southwest,Webcam,3158,33,May,2024
South,Printer,15677,51,December,2024
Northeast,Monitor,22860,89,March,2023
East,Headphones,7645,50,October,2022
Northwest,Keyboard,8919,106,November,2023
Central,Speaker,14457,69,January,2022
Northeast,Laptop,70177,87,December,2022
Midwest,Printer,20124,67,March,2022
West,Monitor,23707,93,September,2022
South,Tablet,10562,32,June,2024
Northwest,Mouse,825,27,July,2023
Southwest,Laptop,85646,106,March,2023
North,Phone,53402,106,December,2022
West,Speaker,4261,19,February,2023
Southeast,Printer,15059,48,January,2023
Central,Mouse,1427,27,February,2023
Midwest,Mouse,2910,75,December,2024
Northwest,Monitor,6893,24,August,2024
Southeast,Tablet,5652,16,April,2022
Southeast,Mouse,3298,107,February,2024
East,Keyboard,5395,58,April,2024
Southwest,Monitor,17168,68,September,2023
Northeast,Mouse,2679,57,November,2023
Northwest,Tablet,30348,99,March,2024
South,Monitor,6196,22,July,2024
Northwest,Speaker,6092,30,July,2023
West,Mouse,931,30,April,2022
North,Printer,23966,79,February,2022
North,Monitor,24224,94,October,2022
Northeast,Speaker,17599,83,May,2022
Northeast,Monitor,4471,14,March,2024
West,Webcam,8717,86,October,2022
Northeast,Speaker,18451,88,July,2024
Northwest,Printer,8116,25,April,2024
Northwest,Speaker,10252,51,May,2023
Northwest,Monitor,10353,38,January,2023
Northwest,Keyboard,2606,23,December,2022
Southwest,Monitor,19695,75,August,2024
West,Printer,20666,67,April,2024
Southwest,Monitor,17590,67,December,2023
North,Laptop,86057,107,June,2022
Northeast,Keyboard,7429,85,December,2023
East,Phone,32728,64,January,2022
Southwest,Webcam,3530,36,July,2022
South,Keyboard,7395,81,January,2024
Northeast,Speaker,5799,26,September,2022
Southwest,Headphones,8572,57,October,2024
Northeast,Speaker,21827,106,February,2024
Midwest,Headphones,15525,99,February,2022
Southeast,Headphones,2991,18,April,2024
South,Keyboard,976,10,June,2024
South,Printer,6140,20,February,2023
Midwest,Phone,8745,16,August,2023
Southeast,Keyboard,5417,56,October,2022
Southwest,Printer,32869,107,July,2024
North,Monitor,27118,108,February,2022
Northeast,Tablet,18114,59,June,2024
Midwest,Headphones,12819,85,December,2023
Midwest,Webcam,9321,93,February,2022
Central,Mouse,2269,55,August,2023
East,Mouse,2009,43,January,2022
South,Phone,29880,58,November,2022
Northeast,Keyboard,7098,84,December,2023
Southwest,Headphones,3329,19,November,2023
South,Phone,19406,38,August,2022
South,Mouse,2746,71,June,2022
Midwest,Printer,10271,31,April,2023
East,Monitor,25630,101,May,2024
Southwest,Speaker,17091,85,December,2024
Northeast,Monitor,22026,86,December,2024
South,Keyboard,5930,70,October,2024
Northwest,Keyboard,3829,37,May,2023
Southwest,Keyboard,4416,52,April,2022
Northeast,Webcam,9631,107,December,2023
East,Phone,31419,61,October,2023
East,Phone,24998,48,June,2022
North,Keyboard,8176,96,July,2023
East,Monitor,8942,32,May,2022
Northwest,Laptop,27202,33,September,2024
Southeast,Phone,16962,33,July,2024
Northeast,Webcam,8216,82,September,2022
Southwest,Headphones,10072,63,March,2022
South,Keyboard,2717,26,January,2023
North,Webcam,7594,76,September,2022
South,Printer,21521,69,May,2023
Northeast,Phone,31978,62,March,2023
North,Keyboard,3279,30,October,2024
North,Speaker,20672,101,August,2022
Southeast,Monitor,13848,53,August,2024
Central,Keyboard,3578,43,July,2024
Midwest,Monitor,25721,101,September,2024
Southeast,Laptop,9502,11,December,2024
Midwest,Printer,31406,104,September,2023
Midwest,Keyboard,5846,61,October,2023
Northwest,Printer,4221,14,December,2023
Midwest,Printer,28310,92,May,2023
North,Laptop,16336,20,September,2023
Northeast,Keyboard,3290,30,October,2023
Central,Keyboard,4203,48,October,2022
East,Webcam,4125,45,February,2024
West,Printer,9911,30,January,2023
Midwest,Mouse,2593,82,November,2024
North,Monitor,10863,43,December,2024
Northeast,Phone,11580,23,April,2024
North,Keyboard,7679,87,December,2023
Midwest,Webcam,8665,95,September,2022
Northwest,Printer,18206,58,November,2024
North,Mouse,905,27,November,2024
North,Phone,51098,101,September,2023
Northwest,Phone,28435,55,September,2024
West,Headphones,6539,40,October,2024
Northwest,Laptop,65540,81,September,2023
Northwest,Keyboard,5697,69,February,2022
Northeast,Mouse,2816,73,December,2022
Northwest,Monitor,17614,70,January,2023
South,Monitor,3284,12,November,2022
East,Tablet,17142,56,November,2024
East,Speaker,10790,51,July,2022
Northeast,Mouse,3791,95,December,2024
South,Mouse,3280,109,November,2022
East,Monitor,10067,40,July,2024
Midwest,Printer,20254,65,November,2022
North,Monitor,25612,101,December,2024
North,Tablet,22232,74,February,2022
Southwest,Laptop,55307,68,August,2022
West,Printer,5785,16,March,2022
Central,Phone,53913,107,October,2022
Midwest,Webcam,6001,61,September,2024
Southwest,Printer,14072,46,September,2022
Northeast,Phone,14950,29,February,2023
Midwest,Monitor,22135,86,November,2023
East,Printer,8507,26,February,2022
Southwest,Monitor,18517,74,December,2023
Central,Speaker,14874,72,August,2023
South,Speaker,17668,88,July,2024
West,Headphones,7414,47,February,2023
Southwest,Printer,29208,96,August,2024
Northwest,Monitor,3139,12,December,2023
Southeast,Keyboard,6274,69,October,2023
West,Keyboard,1805,17,September,2024
Northwest,Headphones,12125,78,July,2023
Midwest,Monitor,21542,86,March,2022
Northwest,Webcam,10032,102,September,2024
Northeast,Mouse,1607,26,November,2023
West,Keyboard,4566,45,February,2023
Southeast,Monitor,2943,11,September,2023
Northwest,Laptop,80851,101,June,2024
Northwest,Tablet,16057,53,November,2024
Southwest,Speaker,20055,97,March,2024
Northwest,Phone,23875,47,January,2023
Central,Webcam,6361,70,October,2023
Midwest,Keyboard,5945,63,February,2024
South,Printer,15693,51,March,2022
Southwest,Mouse,3055,99,July,2023
East,Webcam,3364,29,October,2024
South,Printer,31609,105,August,2023
North,Keyboard,6449,72,September,2022
Central,Mouse,4177,109,July,2024
Northeast,Monitor,7448,28,February,2024
Central,Webcam,5128,54,March,2022
Central,Phone,32494,64,November,2022
North,Laptop,66212,82,February,2023
West,Webcam,7075,76,April,2023
Midwest,Tablet,7993,26,July,2024
West,Tablet,19440,63,June,2024
West,Monitor,9540,36,July,2023
Southeast,Mouse,2838,81,May,2022
Southeast,Phone,54966,108,February,2022
South,Webcam,1442,13,February,2023
Midwest,Webcam,2739,29,October,2024
Northeast,Phone,21882,43,December,2024
Southwest,Monitor,7348,28,October,2022
Northwest,Speaker,17768,87,November,2024
West,Keyboard,8213,93,September,2023
South,Webcam,5510,55,December,2023
Southwest,Mouse,3106,90,May,2024
Northwest,Headphones,7562,45,January,2022
Southwest,Laptop,84067,104,January,2022
Northwest,Printer,19797,63,March,2022
South,Mouse,1466,32,November,2022
Southwest,Laptop,58531,73,March,2024
Central,Phone,10381,20,November,2022
East,Tablet,30228,99,October,2024
North,Webcam,7996,85,November,2023
East,Laptop,47278,59,August,2024
Northwest,Tablet,14097,46,February,2023
Central,Speaker,16849,80,August,2023
Southeast,Headphones,11132,72,June,2024
Central,Keyboard,7806,88,July,2024
North,Monitor,19069,75,June,2024
North,Mouse,2970,88,June,2023
Southwest,Monitor,24419,95,July,2023
Southwest,Webcam,9763,98,July,2022
East,Monitor,10785,40,September,2024
Northwest,Printer,18064,57,November,2024
East,Keyboard,9398,107,August,2023
Central,Keyboard,5673,69,March,2022
Northeast,Printer,14822,49,October,2024
Northeast,Tablet,4220,14,October,2024
Midwest,Mouse,1037,11,July,2022
North,Printer,30751,102,July,2023
Midwest,Printer,5135,14,January,2024
East,Tablet,24552,81,May,2024
West,Monitor,24989,98,October,2022
Midwest,Webcam,3399,34,August,2023
Northwest,Speaker,8230,37,March,2023
Midwest,Webcam,4946,46,October,2022
North,Monitor,8071,29,September,2023
Northeast,Webcam,4999,53,March,2022
Northwest,Mouse,3319,84,November,2022
North,Mouse,2606,78,August,2022
North,Mouse,2752,61,May,2024
Southwest,Headphones,13625,89,November,2024
East,Speaker,11625,54,April,2022
Midwest,Laptop,64854,80,February,2024
North,Printer,23495,75,July,2024
Midwest,Tablet,18666,59,April,2023
South,Keyboard,7130,78,August,2024
North,Monitor,16807,66,February,2024
Central,Printer,14639,47,June,2023
Southeast,Speaker,19794,95,June,2022
